gitgdate,time,client_ip,port,query_domain,record_type,flag,nameserver_ip
1591920000000,27733829,2a02:c207:0:2543::1,39370,FiNdMYjObS.lK,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733833,95.216.159.208,51678,hdr18.com.lk,NS,+,203.94.66.129
1591920000000,27733838,2408:8001:342:3004::3,40999,www.ft.lk,A,-,2402:d000:100c::129
1591920000000,27733850,207.154.216.38,21859,oxerfrei.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733855,2001:1890:1ff:9c5:12:121:117:99,47622,static.lankadeepa.lk,A,-E(0)DC,2402:d000:100c::129
1591920000000,27733860,95.216.159.208,44146,silverleaftresorts.lk,NS,+,203.94.66.129
1591920000000,27733861,178.73.250.38,35410,giile9h404xs3dl3a7a343nx0yf75231s.xn--fzc2c9e2c,NS,+E(0),203.94.66.129
1591920000000,27733863,222.246.129.93,61372,www.labfriend.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733872,74.125.190.151,57617,kingside.lk,MX,-E(0)DC,203.94.66.129
1591920000000,27733872,77.247.181.161,26953,m.nic.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733872,151.248.1.103,32626,innovatingjusticeforum.lk,NS,+E(0),203.94.66.129
1591920000000,27733876,139.59.61.71,54718,polynome.net.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733887,34.216.226.206,64722,futureenterprises.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733890,207.154.216.38,32876,ostreisen.org.lk,NS,-E(0)DC,203.94.66.129
1591920000000,27733891,2001:1890:1ff:9c6:12:121:117:147,55827,ns1.etisalat.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733891,2001:1890:1ff:9c6:12:121:117:147,58232,ns2.etisalat.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733896,90.207.224.7,55772,o16m.lk,A,-E(0)DC,203.94.66.129
1591920000000,27733900,74.125.190.146,46287,anyplace.lk,MX,-E(0)DC,203.94.66.129
1591920000000,27733913,2a03:2880:1310:3fc5:face:b00c:0:5f6b,39959,ns2.etisalat.lk,AAAA,-E(0)DC,2402:d000:100c::129
1591920000000,27733924,178.73.247.58,33403,giilegalservices.xn--xkc2al3hye2a,NS,+E(0),203.94.66.129
